"Parámetro","Fecha","Hora","ATM : Atemajac","CEN : Centro ","AGU : Las Águilas","PIN : Las Pintas","LDO : Loma Dorada","MIR : Miravalle","OBL : Oblatos","SFE : Santa Fe","TLA : Tlaquepaque","VAL : Vallarta","COU : Country","SMT : Santa Margarita","SAN : Santa Anita","Unidad"
"CO","2020-01-01","0","1.53","0.72","1.04","0.95","1.67","0.31","1.66"," - - - - ","0.13","0.59"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","1"," - - - - ","1.58"," - - - - ","1.06","2.1","1.12","1.6"," - - - - "," - - - - ","0.59"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","2"," - - - - ","1.25","1.13","1.84","2.38","1.72","1.15"," - - - - ","0.33","0.62"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","3"," - - - - ","1.35","0.89","1.65","2.07","2.08","0.83"," - - - - ","0.45","0.68"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","4"," - - - - ","1.33","0.8","2.55","1.27","1.58","0.9"," - - - - ","0.48","0.37"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","5"," - - - - ","1.56","0.69","0.87","0.68","1.32","0.72"," - - - - ","0.29","0.28"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","6"," - - - - ","1.06","0.67","0.22","0.38","0.16","0.62"," - - - - ","0.12","0.25"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","7"," - - - - ","0.69","0.7","0.08","0.34"," - - - - ","0.35"," - - - - ","0.09","0.27"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","8"," - - - - ","0.36","0.61","0.22","0.42","0.08","0.38"," - - - - ","0.07","0.23"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","9"," - - - - ","0.32","0.67","0.11","0.36","0.11","0.49"," - - - - ","0.05","0.23"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","10"," - - - - ","0.28","0.66","0.09","0.26"," - - - - ","0.16"," - - - - ","0.04","0.23"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","11"," - - - - ","0.27","0.7","0.11","0.31","0.06","0.2","0.22","0.04","0.22"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","12"," - - - - ","0.26","0.72","0.08","0.33"," - - - - ","0.18","0.16","0.04","0.21"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","13"," - - - - ","0.27","0.71","0.08","0.38"," - - - - ","0.25","0.09","0.06","0.2"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","14"," - - - - ","0.25","0.73","0.09","0.35"," - - - - ","0.23","0.12","0.06","0.19"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","15"," - - - - ","0.28","0.73","0.1","0.36"," - - - - ","0.29","0.12","0.06","0.19"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","16"," - - - - ","0.27","0.8","0.1","0.31","0.21","0.25","0.14","0.05","0.2"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","17"," - - - - ","0.31","0.83","0.1","0.37","0.22","0.27","0.13","0.05","0.21"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","18"," - - - - ","0.34","0.84","0.13","0.46","0.16","0.29","0.17","0.06","0.23"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","19"," - - - - ","0.39","0.8","0.2","0.52","0.24","0.38","0.41","0.08","0.27"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","20"," - - - - ","0.44","0.8","0.28","0.71","0.22","0.38","0.48","0.09","0.25"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","21"," - - - - ","0.5","0.97","0.33","0.88","0.46","0.57","0.41","0.11","0.28"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","22"," - - - - ","0.65","1.05","0.45","0.58","0.5","0.46","0.34","0.11","0.28"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-01","23"," - - - - "," - - - - ","0.91","0.59","0.42","0.28","0.35","0.3","0.13","0.3"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","0"," - - - - ","0.43","0.88","0.59","0.41","0.22","0.28","0.1","0.07","0.4"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","1"," - - - - ","0.31"," - - - - ","0.38","0.41"," - - - - ","0.22","0.01"," - - - - ","0.35"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","2"," - - - - ","0.18","0.58","0.35","0.38"," - - - - ","0.15","0.00","0.02","0.24"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","3"," - - - - ","0.17","0.54","0.36","0.39"," - - - - ","0.13","0.01","0.02","0.24"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","4"," - - - - ","0.21","0.56","0.37","0.41"," - - - - ","0.21","0.01","0.03","0.24"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","5"," - - - - ","0.25","0.52","0.42","0.42"," - - - - ","0.21","0.08","0.03","0.25"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","6"," - - - - ","0.29","0.61","0.66","0.58"," - - - - ","0.22","0.18","0.05","0.24"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","7"," - - - - ","0.23","0.68","0.59","0.59","0.07","0.24","0.2","0.05","0.22"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","8"," - - - - ","0.27","0.9","0.68","0.67","0.17","0.31","0.35","0.08","0.25"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","9"," - - - - ","0.3","0.81","0.64","0.71","0.16","0.28","0.32","0.09","0.29"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","10"," - - - - ","0.44","0.62","0.61","0.9","0.13","0.39","0.28","0.12","0.31"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","11"," - - - - ","0.53","0.54","0.49","0.72"," - - - - ","0.47","0.29","0.08","0.26"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","12"," - - - - ","0.36","0.57","0.47","0.47"," - - - - ","0.31","0.18","0.05","0.23"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","13"," - - - - ","0.28","0.49","0.41","0.4"," - - - - ","0.2","0.18","0.06","0.19"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","14"," - - - - ","0.26","0.45","0.41","0.38"," - - - - ","0.18","0.17","0.07","0.17"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","15"," - - - - ","0.23","0.38","0.33","0.33"," - - - - ","0.18","0.12","0.07","0.15"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","16"," - - - - ","0.3","0.32","0.33","0.33"," - - - - ","0.19","0.2","0.08","0.16"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","17"," - - - - ","0.32","0.36","0.38","0.37"," - - - - ","0.3","0.21","0.09","0.2"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","18"," - - - - ","0.57","0.65","0.55","0.67"," - - - - ","0.54","0.29","0.15","0.26"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","19"," - - - - ","0.63","0.88","0.96","1.3"," - - - - ","0.62","0.65","0.19","0.27"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","20"," - - - - ","0.57","0.68","1.33","1.43"," - - - - ","0.56","0.73","0.17","0.27"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","21"," - - - - ","0.95","0.69","0.98","2"," - - - - ","0.48","0.35","0.27","0.44"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","22"," - - - - ","1.51","0.73","0.91","2.35"," - - - - ","1.08","0.58","0.24","0.25"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-02","23"," - - - - "," - - - - ","1","0.57","2.33"," - - - - ","1.28","0.51","0.34","0.26"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","0"," - - - - ","1.33","1.04","0.65","1.97"," - - - - ","0.69","0.36","0.25","0.36"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","1"," - - - - ","1.23"," - - - - ","1.23","1.26"," - - - - ","0.92","0.39"," - - - - ","0.45"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","2"," - - - - ","1.03","0.75","1.16","0.88"," - - - - ","0.5","0.22","0.29","0.5"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","3"," - - - - ","0.78","1.13","1.37","0.62"," - - - - ","0.46","0.13","0.3","0.43"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","4"," - - - - ","0.63","1.44","1.52","0.54"," - - - - ","0.4","0.3","0.18","0.38"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","5"," - - - - ","0.59","0.86","1.14","0.68"," - - - - ","0.47","0.49","0.16","0.41"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","6"," - - - - ","1.01","0.98","1.57","0.88"," - - - - ","0.76","0.83","0.22","0.5"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","7"," - - - - ","1.2","1.41","2.21","2.09"," - - - - ","1.51","0.76","0.34","0.53"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","8"," - - - - ","1.12","1.68","2.51","1.41"," - - - - ","0.76","1.35","0.32","0.46"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","9"," - - - - ","0.85","1.39","2.07","0.76"," - - - - ","1.01","0.51","0.05","0.32"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","10"," - - - - ","0.72","1.64","1.55","0.83"," - - - - ","0.77","0.15"," - - - - ","0.41"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","11"," - - - - ","0.72","1.72","0.98","0.79"," - - - - ","0.39","0.17","0.01","0.43"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","12"," - - - - ","0.82","1.59","0.8","0.71"," - - - - ","0.67","0.17"," - - - - ","0.43"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","13"," - - - - ","0.67","0.85","0.61","0.34","0.08","0.98","0.11"," - - - - ","0.49"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","14"," - - - - ","0.48","0.55","0.41","0.27","0.09","0.77","0.14"," - - - - ","0.32"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","15"," - - - - ","0.27","0.46","0.39","0.55","0.05","0.59","0.11"," - - - - ","0.17"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","16"," - - - - ","0.3","0.44","0.39","0.54","0.2","0.28","0.26"," - - - - ","0.17"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","17"," - - - - ","0.36","0.51","0.42","0.48","0.23","0.19","0.25"," - - - - ","0.18"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","18"," - - - - ","0.73","1.16","0.83","0.89","1.09","0.57","0.77"," - - - - ","0.3"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","19"," - - - - ","1.14","1.09","1.66","2.1","1.81","1.53","0.92","0.09","0.45"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","20"," - - - - ","1.52","0.98","1.69","2.78","3.15","1.44","0.88","0.18","0.4"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","21"," - - - - ","2.51","1.2","2.4","2.42","2.25","1.63","1.22","0.2","0.33"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","22"," - - - - ","3.35","1.63","2.97","2.49","1.52","1.2","1.36","0.32","0.63"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-03","23"," - - - - "," - - - - ","1.12","1.53","2.64","1.18","1.17","1.02","0.37","0.69"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","0"," - - - - ","2.71","1.2","1.46","2.04","1.41","1.29","0.55","0.57","0.39"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","1"," - - - - ","2.29"," - - - - ","1","1.78","0.88","1.24","0.28"," - - - - ","0.34"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","2"," - - - - ","1.48","0.86","0.86","0.56","0.67","0.35","0.36","0.31","0.33"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","3"," - - - - "," - - - - ","0.59","0.08","0.18"," - - - - ","0.14","0.05"," - - - - ","0.22"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","4"," - - - - "," - - - - ","0.57","0.08","0.23"," - - - - ","0.14"," - - - - "," - - - - ","0.2"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","5"," - - - - "," - - - - ","0.75","0.08","0.18","0.05","0.13"," - - - - "," - - - - ","0.21"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","6"," - - - - ","0.33","1.02","0.27","0.21","0.21","0.69"," - - - - "," - - - - ","0.25"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","7"," - - - - ","0.33","1.22","0.37","0.9","0.69","0.73","0.24"," - - - - ","0.45"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","8"," - - - - ","0.08","1.18","0.14","0.74","0.34","0.36","0.2","0.01","0.31"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","9"," - - - - ","0.03","0.89","0.08","0.23","0.01","0.44"," - - - - ","0.09","0.26"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","10"," - - - - ","0.03","0.76","0.08","0.21"," - - - - ","0.27"," - - - - ","0.34","0.23"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","11"," - - - - ","0.03","0.74","0.08","0.2"," - - - - ","0.27"," - - - - ","0.04","0.21"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","12"," - - - - ","0.03","0.73","0.08","0.22"," - - - - ","0.29"," - - - - "," - - - - ","0.22"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","13"," - - - - ","0.03","0.69","0.08","0.16"," - - - - ","0.33"," - - - - "," - - - - ","0.2"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","14"," - - - - ","0.03","0.71","0.08","0.24"," - - - - ","0.33"," - - - - "," - - - - ","0.2"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","15"," - - - - ","0.03","0.69","0.08","0.18"," - - - - ","0.3"," - - - - "," - - - - ","0.19"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","16"," - - - - ","0.04","0.77","0.08","0.22"," - - - - ","0.32"," - - - - "," - - - - ","0.2"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","17"," - - - - ","0.02","0.86","0.08","0.31"," - - - - ","0.39"," - - - - "," - - - - ","0.21"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","18"," - - - - ","0.14","1","0.08","0.79","0.01","0.51","0.26","0.04","0.29"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","19"," - - - - ","0.17","1.19","0.08","1.24","0.25","0.46","0.22","0.21","0.33"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","20"," - - - - ","0.45","1.22","0.08","0.8","0.69","0.5","0.24","0.17","0.38"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","21"," - - - - ","0.52","1.15","0.08","0.59","0.39","0.44","0.1","0.2","0.31"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","22"," - - - - ","0.38","1.94","0.12","0.35","0.73","0.44","0.1","0.17","0.33"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-04","23"," - - - - "," - - - - ","2.34","0.68","0.36","0.71","0.63","0.31","0.13","0.32"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-05","0"," - - - - ","0.52","1.78","0.56","0.47","0.47","0.46","0.2","0.1","0.41"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-05","1"," - - - - ","0.53"," - - - - ","0.52","0.49","0.13","0.4","0.44"," - - - - ","0.51"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2020-01-05","2"," - - - - ","0.43","1.19","0.35","0.49","0.07","0.34","0.61","0.12","0.4"," - - - - "," - - - - "," - - - - ","ppm"
