"Parámetro","Fecha","Hora","ATM : Atemajac","CEN : Centro ","AGU : Las Águilas","PIN : Las Pintas","LDO : Loma Dorada","MIR : Miravalle","OBL : Oblatos","SFE : Santa Fe","TLA : Tlaquepaque","VAL : Vallarta","COU : Country","SMT : Santa Margarita","SAN : Santa Anita","Unidad"
"CO","2019-01-01","0","3.22"," - - - - ","1.81","6.64","3.83","1.81","4.47"," - - - - ","6.86","1.97"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","1","3.84"," - - - - ","1.58","7.06","3.79","1.58","5.36"," - - - - ","5.4","2.01"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","2","4.09"," - - - - ","1.9","6.22","4.13","1.9","1.5"," - - - - ","8.87","1.78"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","3","4.58"," - - - - ","2.36","6.72","4.12","2.36","1.44"," - - - - ","8.01","1.47"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","4","2.78"," - - - - ","2.02","6.98","4","2.02","3.96"," - - - - ","7.31","1.19"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","5","3.15"," - - - - ","1.82","7.21","1.66","1.82","2.04"," - - - - ","6.93","1"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","6","3.64"," - - - - ","2.03","5.75","1.62","2.03","3.06"," - - - - ","6.43","0.88"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","7","3.53"," - - - - ","1.66","6.21","2.53","1.66","2.18"," - - - - ","5.94","0.78"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","8","3.31"," - - - - ","1.24","5.98","1.34","1.24","0.79"," - - - - ","1.63","0.7"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","9","2.61"," - - - - ","1.13","5.02","0.28","1.13","0.66"," - - - - ","0.39","1.81"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","10","1.54"," - - - - ","1.2","3.88","0.29","1.2","0.49"," - - - - ","1.65","1.99"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","11","1.01"," - - - - ","0.85","1.79","0.39","0.85","0.39"," - - - - ","1.44","1.16"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","12","0.67"," - - - - ","0.7","0.6","0.35","0.7","0.3"," - - - - ","0.68","0.94"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","13","0.51"," - - - - ","0.7","0.31","0.36","0.7","0.31"," - - - - ","0.1","0.34"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","14","0.41"," - - - - ","0.65","0.06","0.43","0.65","0.31"," - - - - ","0.03","0.22"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","15","0.49"," - - - - ","0.48","0.21","0.52","0.48","0.26"," - - - - ","0.04","0.15"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","16","0.41"," - - - - ","0.33","0.05","0.51","0.33","0.23"," - - - - ","0.03","0.09"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","17","0.56"," - - - - ","0.31","0.05","0.52","0.31","0.2"," - - - - ","0.03","0.13"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","18","0.67"," - - - - ","0.44","0.33","1.24","0.44","0.44"," - - - - ","0.43","0.25"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","19","1.59"," - - - - ","0.77","0.94","1.96","0.77","1.07"," - - - - ","1.43","0.36"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","20","1.85"," - - - - ","0.96","2.07","2.85","0.96","1.41"," - - - - ","1.32","0.49"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","21","1.39"," - - - - ","0.9","2.11","3.38","0.9","1.06"," - - - - ","1.76","0.34"," - - - - "," - - - - "," - - - - ","ppm"
"CO","2019-01-01","22","2.13"," - - - - ","0.87","2.64","2.53","0.87","1"," - - - - ","2.59","0.43"," - - - - "," - - - - "," - - - - ","ppm"
