"Parámetro","Fecha","Hora","SO : Santa Catarina","NO : San Bernabé","CE : Obispado","NE : San Nicolás","SE : ITNL","N : Escobedo","NO2 : García","NE2 : Apodaca","SE2 : Juárez","SO2 : San Pedro","SE3 : Cadereyta","N2 : UANL","SUR : Preparatoria ITESM Eugenio Garza Lagüera","NE3 : Pesquería","NO3 : Misión San Juan","Unidad"
"PM2.5","2020-01-01","0","59","71","61","108","54","50"," - - - - ","22"," - - - - "," - - - - ","18","62"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","1","51"," - - - - ","86"," - - - - "," - - - - ","47","5"," - - - - "," - - - - ","37","28"," - - - - ","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","2","51","83","72","45","54","44","6"," - - - - "," - - - - ","42","28"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","3","48","51","70"," - - - - ","36","47","5","9"," - - - - ","36","11","38","31"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","4"," - - - - ","56","94","43","34","33","5"," - - - - "," - - - - ","47"," - - - - "," - - - - ","12"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","5"," - - - - ","58","84","30","33","37","6","8"," - - - - ","44"," - - - - ","12","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","6","54","48","77","19","20","57","11"," - - - - "," - - - - ","46"," - - - - ","11","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","7"," - - - - ","47","67"," - - - - ","24","57","12"," - - - - "," - - - - ","45"," - - - - "," - - - - ","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","8","50","49","65"," - - - - ","16","52","7"," - - - - "," - - - - ","39"," - - - - ","65","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","9","45","44","62"," - - - - "," - - - - ","52","11","12"," - - - - ","38"," - - - - ","56","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","10","49","42","52"," - - - - ","28","46","13"," - - - - "," - - - - ","39","4","67","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","11","49","50","41","50","21","47","9"," - - - - "," - - - - ","45","8","55","18"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","12","41","51","35","53","15","43","9"," - - - - "," - - - - ","28","21"," - - - - ","12"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","13","25","31","27","53","15","11","9"," - - - - "," - - - - ","17","40","48"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","14","14","14","17","50","11","7","8"," - - - - "," - - - - "," - - - - ","51","9"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","15","14","7","7","46","5","4","10","21"," - - - - "," - - - - ","54"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","16","8","7","8","30","4","6","14","9"," - - - - "," - - - - ","43","8","3"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","17","3","6","5","24","5","3","14","6"," - - - - "," - - - - ","25","15"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","18","4","10","5","32","4"," - - - - ","11","8"," - - - - "," - - - - ","4"," - - - - ","14"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","19","4","10","15","18","4","4","7","3"," - - - - "," - - - - ","12"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","20","5","8","8"," - - - - ","4","3","6","4"," - - - - "," - - - - ","14"," - - - - ","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","21","12","7","5","37","3"," - - - - ","5","9"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","22","5"," - - - - ","5","21","2"," - - - - ","4","10"," - - - - "," - - - - ","8","6","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","23","3","3","6","15"," - - - - "," - - - - ","4","16"," - - - - "," - - - - "," - - - - ","3","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","0","4","2","5","11"," - - - - "," - - - - ","4","9"," - - - - ","2","6","4","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","1","2"," - - - - ","5","10"," - - - - "," - - - - ","5","3"," - - - - "," - - - - ","7","3","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","2","3"," - - - - ","7","7","2"," - - - - ","5","8"," - - - - "," - - - - ","8"," - - - - ","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","3","3"," - - - - ","6","7","2"," - - - - ","5","4"," - - - - ","2","4","5","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","4","2"," - - - - ","7","5","2"," - - - - ","8"," - - - - "," - - - - "," - - - - ","5"," - - - - ","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","5","4"," - - - - ","4"," - - - - ","2"," - - - - ","10","7"," - - - - "," - - - - ","5","4","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","6","4","5","9","6","3","2","11","9"," - - - - "," - - - - ","4"," - - - - ","17"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","7","5","5","10","8","4","5","9","3"," - - - - ","4"," - - - - ","16","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","8","7","4"," - - - - "," - - - - ","4","4","8","7"," - - - - ","7"," - - - - ","17","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","9","6","4","10","15","5","3","8","10"," - - - - "," - - - - "," - - - - ","8","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","10"," - - - - ","3","10","16","5","4","13","30"," - - - - ","2","2","20"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","11"," - - - - ","8","8","19","5","5","14","31"," - - - - "," - - - - ","2","16"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","12","2","8","6","9","5","8","14","2"," - - - - ","5","2","4"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","13","4","6","5","9","4","7","16","23"," - - - - ","7","4","20","15"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","14","4","3","6","6","4","6","19","6"," - - - - ","8","13","4"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","15","4","4","10","5","4","5","11","14"," - - - - ","2","6","25","3"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","16","5","5","11","7","6","4","8","34"," - - - - ","23","11","14","20"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","17","4","5","9","8","6","5","8","8"," - - - - "," - - - - ","22","3","9"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","18","5","10","11","10","9","8","6","31"," - - - - ","11","2"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","19","11","19","16","19","8","14","5","36"," - - - - ","10","34","16","31"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","20","12","16","13","24","11","23","5","35"," - - - - ","8","38","14","15"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","21","23","23","12","30","11","24","6","34"," - - - - ","10","44","36","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","22","31","33","11","40","11","33","6","58"," - - - - ","15","20","45"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-02","23","38","35","23","51","9","24","7","33"," - - - - ","23","24","41","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","0","27","45","19","54","8","16","6","47"," - - - - ","12","24","46"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","1","14","16","18","39","9","19","5","18"," - - - - ","13","43","8","3"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","2","10","8","23","13","15","17","5","2"," - - - - ","16","16","19","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","3","4","5","14","10","12","9","6","5"," - - - - ","4","6","8","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","4","3","3","13","6","12","3","6","14"," - - - - ","7","6","12","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","5","4","3","12","6","8","2","8","6"," - - - - "," - - - - ","12"," - - - - ","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","6","4","3","10","3","5","2","14","3"," - - - - ","2","19"," - - - - ","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","7","4","4","8","11","5","4","15","5"," - - - - ","5","13"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","8","4","5","8","6","6","7","14","10"," - - - - ","5","19","2"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","9","4","5","4","4","5","5","12"," - - - - "," - - - - ","7","14"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","10","4","4","4","5","7","6","12","7"," - - - - ","9","4","2"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","11","4","4","4","4","6","6","14","6"," - - - - ","20","16","5","3"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","12","4","4","5","5","6","6","17","11"," - - - - ","16","14","2","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","13","5","4","6","7","5","7","18"," - - - - "," - - - - "," - - - - ","12","4","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","14","5"," - - - - ","6","5"," - - - - ","6","14","4"," - - - - "," - - - - ","15"," - - - - ","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","15","4"," - - - - ","6","6","5","6","11"," - - - - "," - - - - ","4","38","3","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","16","3"," - - - - ","5","4","4","5","10"," - - - - "," - - - - ","3"," - - - - ","15","9"," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-03","17","3"," - - - - ","4","4","3","5","8"," - - - - "," - - - - "," - - - - "," - - - - ","4","4"," - - - - "," - - - - ","µg/m³"
