"Parámetro","Fecha","Hora","SO : Santa Catarina","NO : San Bernabé","CE : Obispado","NE : San Nicolás","SE : ITNL","N : Escobedo","NO2 : García","NE2 : Apodaca","SE2 : Juárez","SO2 : San Pedro","SE3 : Cadereyta","N2 : UANL","SUR : Preparatoria ITESM Eugenio Garza Lagüera","NE3 : Pesquería","NO3 : Misión San Juan","Unidad"
"PM2.5","2019-01-01","0","315"," - - - - ","172","536","215","584","991"," - - - - ","731"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","1"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","251"," - - - - ","107","179","343","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","2","457","766"," - - - - ","593"," - - - - "," - - - - ","640"," - - - - "," - - - - ","134","181"," - - - - ","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","3"," - - - - ","615","225","659","235"," - - - - ","379","546","668","119","233","756","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","4","415","605","176","661","117"," - - - - "," - - - - ","494"," - - - - ","51","274","535","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","5","226","445","105","601","38"," - - - - "," - - - - ","489","566","21","288","406","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","6","143","242","78","457","32"," - - - - ","110","283","414","31","209","318"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","7","93","173","49","287"," - - - - "," - - - - ","68","207","294","31","227","255","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","8","89","180","45","241","37"," - - - - "," - - - - ","212","220","24","301","180","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","9","51","200"," - - - - ","216","31"," - - - - ","77","236","194","15","240","139","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","10","37","166","48","174","36"," - - - - "," - - - - ","262","152","22","145","104","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","11","37","118"," - - - - ","65"," - - - - "," - - - - ","58","113","99","17","85","23","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","12"," - - - - ","76"," - - - - ","52","58","21","31","78","64","38","53","35","20"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","13","40","68","76","41","47","26","17"," - - - - ","48","36","40","2","24"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","14","39","42"," - - - - ","30","45"," - - - - "," - - - - "," - - - - "," - - - - ","38","43","30","25"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","15","30","41","37","41","27","28","39","17"," - - - - ","35","40","18","36"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","16","20","31","22","17","21","20","34","24"," - - - - ","15","15","28","28"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","17","19","33","18","25","21","17","32","19"," - - - - ","12","24","24","30"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","18","24","39","21","23","18"," - - - - ","23"," - - - - "," - - - - ","26","17","35","18"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","19","27","41","24","24","16"," - - - - ","28"," - - - - "," - - - - ","24","12","24","15"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","20","26","35","19","24","23","23","20","5"," - - - - ","25","6","21","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","21"," - - - - ","41","25","17","18","13","17"," - - - - "," - - - - ","22","11","20","13"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","22"," - - - - ","50","30","11"," - - - - ","9","14","3"," - - - - ","21","5","16","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-01","23"," - - - - ","24","40","10","21","8","13","8"," - - - - ","35","7","18","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","0","38","15","22","9","17","7","13","3"," - - - - ","22","6","2","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","1"," - - - - ","16","16","9","12","9","15","7"," - - - - ","22"," - - - - ","6","12"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","2","33","17"," - - - - ","10","12","10","16"," - - - - "," - - - - ","13"," - - - - ","11","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","3","28","18","16","11"," - - - - ","12"," - - - - "," - - - - "," - - - - ","11"," - - - - "," - - - - ","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","4"," - - - - ","20"," - - - - ","10","13","12","19"," - - - - "," - - - - ","13"," - - - - ","11","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","5"," - - - - ","19","18","9","13","11","17"," - - - - "," - - - - ","14"," - - - - ","5","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","6"," - - - - ","21","17"," - - - - ","14","12"," - - - - ","7"," - - - - ","16"," - - - - ","13","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","7"," - - - - "," - - - - ","18","10","12","11","17","4"," - - - - ","10"," - - - - ","20","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","8"," - - - - ","21","18","10","14","12"," - - - - ","2"," - - - - ","14"," - - - - ","15","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","9"," - - - - ","24","21","10","14","12"," - - - - ","10"," - - - - ","17"," - - - - ","18","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","10","40","27","22","10","14","13","18","7"," - - - - ","19"," - - - - ","9","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","11","37","31","23","11","17","14","18","4"," - - - - ","11"," - - - - ","18","9"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","12","39","30","35","15","17","17"," - - - - ","16"," - - - - ","17"," - - - - ","3","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","13","42","48","37","15","20","19","29","12"," - - - - ","28"," - - - - ","25","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","14","49","42","34","13","23","13","39","24"," - - - - ","26"," - - - - ","22","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","15","44","30","24","12","13","12","31","20"," - - - - ","29"," - - - - ","21","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","16","38","32","24","13","15","14","22","14"," - - - - ","17"," - - - - ","16","9"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","17","37","27","18","11","18","11","20","2"," - - - - ","20"," - - - - ","4","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","18","30","27","18","11","13","11","20","3"," - - - - ","13"," - - - - ","12","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","19"," - - - - ","26","18","12","13","12","19","11"," - - - - ","8"," - - - - ","12","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","20","33","29","20","15","15","16","20","8"," - - - - ","9"," - - - - ","9","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","21","36","37","28","17","16","16"," - - - - ","4"," - - - - ","12"," - - - - ","39"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","22","32","37","26","20","18","25","26","10"," - - - - ","14"," - - - - ","42"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-02","23","25","40","23","14","7","22","30","27"," - - - - ","16"," - - - - ","40","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","0"," - - - - ","31","21"," - - - - ","9","19","38","15"," - - - - ","19"," - - - - ","4","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","1"," - - - - ","30","22","12"," - - - - ","19","32"," - - - - "," - - - - ","17","17","14","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","2","30","33"," - - - - ","13"," - - - - ","17","30","8"," - - - - ","13","2","12","3"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","3"," - - - - ","26","24","12"," - - - - ","10","19","5"," - - - - ","10","3","14","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","4"," - - - - ","13","16","10"," - - - - ","9","9","8"," - - - - ","8","4","7"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","5"," - - - - ","12"," - - - - ","7"," - - - - ","7","7"," - - - - "," - - - - ","7","10","3"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","6"," - - - - "," - - - - ","10","5","8","7"," - - - - "," - - - - "," - - - - ","5","14","2"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","7"," - - - - ","12"," - - - - ","4"," - - - - ","5"," - - - - ","2"," - - - - "," - - - - "," - - - - "," - - - - ","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","8"," - - - - "," - - - - "," - - - - ","4"," - - - - ","5"," - - - - "," - - - - "," - - - - ","11"," - - - - ","8"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","9"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","6","11","2"," - - - - ","9","2","8","3"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","10"," - - - - ","28"," - - - - "," - - - - "," - - - - ","14","13","3"," - - - - ","17","17"," - - - - ","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","11","26","24","26","21","20","22","12","7"," - - - - "," - - - - ","2","19"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","12","11","24","23","14","26","22","12","31"," - - - - ","14","14","2","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","13","10","13","24","13","26","15","12"," - - - - "," - - - - ","10","22","29","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","14","12","14","22","11","21","10","12"," - - - - "," - - - - ","10","28","9"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","15","15","13","18","10","17","10","11","34"," - - - - ","3","28","6","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","16","12","14","39","10","16","10","9","23"," - - - - ","6","29","9","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","17","15","13","31","11","17","10","10","18"," - - - - ","18","12","17","15"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","18","18","21"," - - - - ","18","19","16","18"," - - - - "," - - - - ","12","20"," - - - - ","20"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","19","19","21"," - - - - ","11","12","16","34","19"," - - - - ","39","15","40","12"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","20","24","18"," - - - - ","14","14","15","23","19"," - - - - ","21","17","21","10"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","21","24","21"," - - - - ","18","17","20","19","10"," - - - - ","17","4","20","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","22","24","39"," - - - - ","21","22","16","22","15"," - - - - ","21","29","20","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-03","23","30","54"," - - - - ","31","26","16","23","12"," - - - - ","23","50","17","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","0","42","49"," - - - - ","36","23"," - - - - ","32","9"," - - - - ","21","17","18","9"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","1","52","62"," - - - - ","35","23","32","32","9"," - - - - ","18","27","30","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","2","67","49"," - - - - ","32","23"," - - - - ","29","7"," - - - - ","19","13","46","9"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","3","48","33"," - - - - ","25","28","21","26","14"," - - - - ","14"," - - - - ","35","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","4","45","53"," - - - - ","32","28","24","23","16"," - - - - ","49","175","33","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","5","38","36"," - - - - ","49","23"," - - - - ","22","28"," - - - - ","35","73","45","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","6","25","24"," - - - - ","39","18"," - - - - ","18","27"," - - - - ","6","52","37","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","7","27","20"," - - - - ","39","14"," - - - - ","15","27"," - - - - ","2","42","15","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","8","31","21"," - - - - ","35","14"," - - - - ","14","14"," - - - - ","8","55","37","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","9","41","18"," - - - - ","36","16"," - - - - ","14","12"," - - - - ","2","56","26"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","10","46","17"," - - - - ","33","20"," - - - - ","13","10"," - - - - "," - - - - ","66","12"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","11","22","29"," - - - - ","29","18"," - - - - ","10","38"," - - - - ","3","29","12","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","12","11","25"," - - - - ","22","25","28","8","41"," - - - - ","6","12","3","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","13"," - - - - ","36"," - - - - ","14","22","20","9","54"," - - - - ","29","18","3","15"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","14","28","17"," - - - - ","14","15","15","20","38"," - - - - ","11","18","6","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","15","28","18"," - - - - ","12","10","11","35","34"," - - - - ","13","25","13","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","16","21","16"," - - - - ","11","10","12","26","21"," - - - - ","14","21","9"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","17","19","16"," - - - - ","14","14","13","23","33"," - - - - ","6","25","21","15"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","18","18","21"," - - - - ","15","14","19","18","39"," - - - - ","22","20","33","16"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","19","16","25"," - - - - ","30","16","20","24","30"," - - - - ","21","43","46","12"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","20","17","31"," - - - - ","44","18","29","33","33"," - - - - ","10","54","33","9"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","21","39","55"," - - - - ","54","20"," - - - - ","35","28"," - - - - ","11","82","44","17"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","22"," - - - - ","91"," - - - - ","47","24"," - - - - ","40","30"," - - - - ","12","59","68","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-04","23","90","85"," - - - - ","83","29","39","37","34"," - - - - ","9","51","63","12"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","0","67","115"," - - - - ","88","26","48","52","53"," - - - - ","22","45","74","11"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","1","88","108"," - - - - ","86","19","42","35","64"," - - - - ","18","35","77","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","2","46","61"," - - - - ","72","19"," - - - - ","28","50"," - - - - ","14","34","86","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","3","44","43"," - - - - ","76","16","39","26","10"," - - - - ","13","8","63","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","4","42","46"," - - - - ","70","14","40","28","47"," - - - - ","6"," - - - - ","44","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","5","42","62"," - - - - ","56","15","40","26","52"," - - - - ","9"," - - - - ","36","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","6","40","50"," - - - - ","46","17","32","26","31"," - - - - ","10"," - - - - ","46","3"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","7","39","38"," - - - - ","52","20","40","26","31"," - - - - ","8"," - - - - ","56","5"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","8","48","49"," - - - - ","56","18","46","26","36"," - - - - ","7"," - - - - ","46","2"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","9","51","52"," - - - - ","63","18"," - - - - ","33","31"," - - - - "," - - - - "," - - - - ","24"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","10","36","49"," - - - - ","63","20","51","33","48"," - - - - "," - - - - "," - - - - ","56"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","11","35","53"," - - - - ","54","20"," - - - - ","40","34"," - - - - ","10"," - - - - ","77","7"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","12","29","54"," - - - - ","44","36"," - - - - ","44","38"," - - - - ","23"," - - - - ","69","13"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","13","18","52"," - - - - ","21","43","26","31","42"," - - - - ","26"," - - - - ","12","4"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","14","20","39"," - - - - ","18","44","24","32","35"," - - - - ","49"," - - - - ","12","15"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","15","61","33"," - - - - ","29","46","21","53","36"," - - - - ","31"," - - - - ","18","8"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","16","51","32"," - - - - ","29","30","23","39","39"," - - - - ","30"," - - - - ","17","6"," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","17","47","26"," - - - - ","35","18","19","42","46"," - - - - ","20"," - - - - ","19"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","18","32","25"," - - - - ","41","18","23","33","30"," - - - - ","24"," - - - - ","23"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","19","23","26"," - - - - ","51","16","23","32","31"," - - - - ","14"," - - - - ","40"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","20","19"," - - - - "," - - - - ","46","16","25","40","27"," - - - - ","16"," - - - - ","29"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","21","25","114"," - - - - ","79","25"," - - - - ","47","27"," - - - - ","13"," - - - - ","64"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","22","43","95"," - - - - ","136","29"," - - - - ","89","73"," - - - - ","17"," - - - - ","47"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-05","23","79"," - - - - "," - - - - ","113","40","25","57","39"," - - - - ","16"," - - - - ","69"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","0","75"," - - - - "," - - - - ","31","47"," - - - - ","87","17"," - - - - ","21"," - - - - ","65"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","1","64","88"," - - - - ","24","43"," - - - - ","117","6"," - - - - ","25"," - - - - ","54"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","2","49","66"," - - - - ","24","39","38","63","7"," - - - - ","18","22","16"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","3","47","49"," - - - - ","18","35"," - - - - ","63","6"," - - - - ","28","16","19"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","4","44","39"," - - - - ","18","33"," - - - - ","50"," - - - - "," - - - - ","20","16","31"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","5","41","28"," - - - - ","13","34"," - - - - ","38","13"," - - - - ","16","13","28"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","6","38","30"," - - - - ","17","33"," - - - - ","41","13"," - - - - ","12","5","16"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","7"," - - - - ","41"," - - - - ","19","32"," - - - - ","33","10"," - - - - ","24","13","25"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","8","52","50"," - - - - ","20","31","22","35","21"," - - - - ","18"," - - - - ","32"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","9","48","51"," - - - - ","21","38","25","38","30"," - - - - ","6","22","26"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","10","48","51"," - - - - ","26","40"," - - - - ","54","41"," - - - - "," - - - - ","29","41"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","11","20","54"," - - - - ","36","47","40","58","31"," - - - - ","26","54","41"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","12","31","61"," - - - - ","46","56","46","59","16"," - - - - ","26","23","49"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","13","43","67"," - - - - ","48","61","48","46","35"," - - - - ","48","33","58"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","14"," - - - - ","70"," - - - - ","56","44","53","49","50"," - - - - ","60","26","25"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","15","76","68"," - - - - ","39","31"," - - - - ","61","36"," - - - - ","59","23","57"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","16","56","45"," - - - - ","22","22","40","63","22"," - - - - ","36","22","24"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","17","38","30"," - - - - ","21","20"," - - - - ","54","14"," - - - - ","18","19","10"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2019-01-06","18","42","28"," - - - - ","21","23"," - - - - ","46","28"," - - - - ","26","4","16"," - - - - "," - - - - "," - - - - ","µg/m³"
