"Parámetro","Fecha","Hora","SO : Santa Catarina","NO : San Bernabé","CE : Obispado","NE : San Nicolás","SE : ITNL","N : Escobedo","NO2 : García","NE2 : Apodaca","SE2 : Juárez","SO2 : San Pedro","SE3 : Cadereyta","N2 : UANL","SUR : Preparatoria ITESM Eugenio Garza Lagüera","NE3 : Pesquería","NO3 : Misión San Juan","Unidad"
"PM2.5","2021-01-01","0","58","103","64","60","79","97","16","21","17"," - - - - ","11","28"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","1"," - - - - ","99","46","49","81","69","20","23"," - - - - "," - - - - ","35","24"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","2","55","68","48","28","48","45","55","20","27"," - - - - ","30","29"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","3","50","52","52","29","43","26","50","7","22"," - - - - ","11","15"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","4","51","81","62","17","45","24","41","3","19"," - - - - ","9","14"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","5","51","67","49","14","28","21","38"," - - - - ","14"," - - - - ","9","18"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","6"," - - - - ","46","48","16","24","23","40","4","15"," - - - - ","12","15"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","7","65","47","37","11","30","23","33","5","10"," - - - - ","42","12"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","8","64","39","30","13","23","27","33","4","11"," - - - - ","22","10"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","9","38","37","25","14","16","25","18"," - - - - ","16"," - - - - ","21","18"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","10","33","43","26","14","15","20","23"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","11","27","35","24","9","14","23","27","19"," - - - - "," - - - - "," - - - - ","6"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","12","21","27","23","10","13","15","17"," - - - - ","7"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2021-01-01","13","20","17","17","9","12","11","10"," - - - - ","6"," - - - - "," - - - - ","6"," - - - - "," - - - - "," - - - - ","µg/m³"
