ciudad,dia_semana,nombre_dia,hora,CO,NO2,O3,PM25,SO2
CDMX,0,Monday,0,0.2884400214179947,0.019298402318410457,0.01763084244108201,15.7687070808052,0.00277112799961779
CDMX,0,Monday,1,0.2457588825578784,0.01788130128378469,0.017111747634853756,16.034665885386744,0.002879001826414126
CDMX,0,Monday,2,0.22031770392601951,0.016929045509181374,0.016336807037086298,15.727883080310443,0.0030142397823766836
CDMX,0,Monday,3,0.21932244222861888,0.017184879105827725,0.014923373626029737,15.933190143867536,0.0031107472845863086
CDMX,0,Monday,4,0.26439078554764617,0.019458525230916776,0.011850265827926327,16.47564228224013,0.0030975920907928803
CDMX,0,Monday,5,0.40936481697378396,0.02321149791558932,0.008287993187487089,17.425044512277037,0.003037824223563867
CDMX,0,Monday,6,0.6667193647627191,0.02608982386269964,0.005998321616953769,19.1791984238275,0.0031415745288752785
CDMX,0,Monday,7,0.848593269374244,0.027004915098587323,0.0075607384079095724,20.72186845278772,0.003799267350170143
CDMX,0,Monday,8,0.7598219526924826,0.02809360354145483,0.01372793534867969,22.23168793284327,0.0045487322629325635
CDMX,0,Monday,9,0.6082528730496629,0.02830173110310077,0.023584866664692342,24.089871479586144,0.004650320444807894
CDMX,0,Monday,10,0.48826489917249477,0.02571780026540984,0.03598146215034074,24.831756136962582,0.00424220044395881
CDMX,0,Monday,11,0.37870991853102226,0.021056230867429988,0.048717565519159144,24.084022540744826,0.0035077073827156574
CDMX,0,Monday,12,0.29935253027772224,0.016600896827778936,0.059075330610376404,22.029329580675736,0.002844827878777952
CDMX,0,Monday,13,0.25524066816457835,0.013824613962719954,0.06510231602163545,20.181296173032596,0.002569044791137324
CDMX,0,Monday,14,0.23618735316828326,0.012825787679277133,0.06600972450597822,19.41184835495073,0.0024359125872638913
CDMX,0,Monday,15,0.23231878020139515,0.013072315789504093,0.0628310578024656,19.112416219401513,0.0023573538844741324
CDMX,0,Monday,16,0.24400943844516643,0.01424574868280232,0.05645398438731341,18.807353457251647,0.002314148879208181
CDMX,0,Monday,17,0.27898168388558325,0.01688851737969813,0.046875370326369924,18.065212629878918,0.0021254732430504492
CDMX,0,Monday,18,0.3413048162646863,0.020861204508197922,0.03603309448452329,17.595305274790572,0.002003880236747771
CDMX,0,Monday,19,0.37912503722805807,0.02303825771967947,0.02870209642898537,17.090734728526616,0.0019756305901803784
CDMX,0,Monday,20,0.386840459757536,0.023926505368296918,0.024186680613179808,16.509583212063266,0.0020404469805124026
CDMX,0,Monday,21,0.3848812781981073,0.024464265246219596,0.020769011483321755,16.234988221322617,0.002262352901933127
CDMX,0,Monday,22,0.3714459926265888,0.024199885484514284,0.018378573567725046,16.16801302612671,0.002661484983876534
CDMX,0,Monday,23,0.33505871969808326,0.022926816668456522,0.017042082321406478,15.881145266874906,0.0029580747493745093
CDMX,1,Tuesday,0,0.2880939301896288,0.02138406966240576,0.016101416309730724,16.52773730973617,0.003057724846614956
CDMX,1,Tuesday,1,0.24953472025184142,0.02003697143095965,0.015364822574774489,16.794129472017715,0.0030026784124344654
CDMX,1,Tuesday,2,0.22490117356196276,0.019058427284820625,0.014514435054910985,16.709696056210415,0.0029285289978605946
CDMX,1,Tuesday,3,0.22391821488929678,0.01904494521111317,0.01332986562229615,17.01269565762689,0.0027397143922718303
CDMX,1,Tuesday,4,0.27293899650698084,0.021110148362564637,0.010538279483036336,17.57244013670253,0.0026354030324126127
CDMX,1,Tuesday,5,0.4358231436671605,0.02453798667554415,0.007297556773887594,18.77302990328283,0.0026899558213956927
CDMX,1,Tuesday,6,0.7061219975384536,0.026996977999253914,0.00544060634143621,20.369315092820038,0.0029332036839016546
CDMX,1,Tuesday,7,0.9169843739132723,0.028141905620050815,0.007022762629864765,22.116761924612177,0.0036325368677168246
CDMX,1,Tuesday,8,0.823049591359107,0.030031669563884866,0.013113516499748118,23.89030322040535,0.004651174993085348
CDMX,1,Tuesday,9,0.644171143775606,0.03047593690543646,0.023495911758327024,25.627896519360792,0.004910552743610028
CDMX,1,Tuesday,10,0.5058446614367349,0.027545160992775267,0.036662023390394115,26.228433663161518,0.004458041706012714
CDMX,1,Tuesday,11,0.39025222425694356,0.022384449363585843,0.049845055103385834,24.985352959338762,0.003591686318065883
CDMX,1,Tuesday,12,0.30995289266088816,0.017572525314377415,0.06041988650088178,22.97172827892064,0.0029066573468299233
CDMX,1,Tuesday,13,0.26003563590447487,0.014441431820357113,0.06645989970989036,20.827082098591564,0.0024652926361934404
CDMX,1,Tuesday,14,0.23357296019081292,0.013114903753166702,0.0671844364669786,19.34860015682362,0.0022096490239135354
CDMX,1,Tuesday,15,0.2271121636731943,0.013132941389788736,0.06361525497330231,18.661233585549,0.0021472938825531813
CDMX,1,Tuesday,16,0.23685187908980543,0.014243615340565662,0.05693420236567321,18.206444059761115,0.0021632417877844663
CDMX,1,Tuesday,17,0.27152533746294605,0.016850033086645816,0.04684846705681459,18.039840008606244,0.002169775013334006
