ciudad,contaminante,fecha,anio,mes,dia_semana,nombre_dia,semana,estacion_anio,valor
CDMX,CO,2019-03-15,2019,3,4,Friday,11,Primavera,0.30855294396961064
CDMX,CO,2019-03-16,2019,3,5,Saturday,11,Primavera,0.3415301519468186
CDMX,CO,2019-03-17,2019,3,6,Sunday,11,Primavera,0.36223884140550805
CDMX,CO,2019-03-18,2019,3,0,Monday,12,Primavera,0.22231125356125359
CDMX,CO,2019-03-19,2019,3,1,Tuesday,12,Primavera,0.3207363573758501
CDMX,CO,2019-03-20,2019,3,2,Wednesday,12,Primavera,0.3189314697648031
CDMX,CO,2019-03-21,2019,3,3,Thursday,12,Primavera,0.28163580246913583
CDMX,CO,2019-03-22,2019,3,4,Friday,12,Primavera,0.3820443376068376
CDMX,CO,2019-03-23,2019,3,5,Saturday,12,Primavera,0.31570512820512825
CDMX,CO,2019-03-24,2019,3,6,Sunday,12,Primavera,0.2655448717948718
CDMX,CO,2019-03-25,2019,3,0,Monday,13,Primavera,0.3086089743589744
CDMX,CO,2019-03-26,2019,3,1,Tuesday,13,Primavera,0.29017283950617284
CDMX,CO,2019-03-27,2019,3,2,Wednesday,13,Primavera,0.2699861111111111
CDMX,CO,2019-03-28,2019,3,3,Thursday,13,Primavera,0.32961775878442545
CDMX,CO,2019-03-29,2019,3,4,Friday,13,Primavera,0.5016144349477684
CDMX,CO,2019-03-30,2019,3,5,Saturday,13,Primavera,0.4406635802469136
CDMX,CO,2019-03-31,2019,3,6,Sunday,13,Primavera,0.25779320987654325
CDMX,CO,2019-04-01,2019,4,0,Monday,14,Primavera,0.3026091661961227
CDMX,CO,2019-04-02,2019,4,1,Tuesday,14,Primavera,0.35218055555555555
CDMX,CO,2019-04-03,2019,4,2,Wednesday,14,Primavera,0.31623132332643206
CDMX,CO,2019-04-04,2019,4,3,Thursday,14,Primavera,0.3063465909090909
CDMX,CO,2019-04-05,2019,4,4,Friday,14,Primavera,0.33213452459376375
CDMX,CO,2019-04-06,2019,4,5,Saturday,14,Primavera,0.3056794654620742
CDMX,CO,2019-04-07,2019,4,6,Sunday,14,Primavera,0.3179465462074158
CDMX,CO,2019-04-08,2019,4,0,Monday,15,Primavera,0.3214495188894502
CDMX,CO,2019-04-09,2019,4,1,Tuesday,15,Primavera,0.2411030726519857
CDMX,CO,2019-04-10,2019,4,2,Wednesday,15,Primavera,0.381547619047619
CDMX,CO,2019-04-11,2019,4,3,Thursday,15,Primavera,0.33526570048309173
CDMX,CO,2019-04-12,2019,4,4,Friday,15,Primavera,0.3156378939271189
CDMX,CO,2019-04-13,2019,4,5,Saturday,15,Primavera,0.3074151138716356
CDMX,CO,2019-04-14,2019,4,6,Sunday,15,Primavera,0.43336111111111114
CDMX,CO,2019-04-15,2019,4,0,Monday,16,Primavera,0.3684601449275362
CDMX,CO,2019-04-16,2019,4,1,Tuesday,16,Primavera,0.28945652173913045
CDMX,CO,2019-04-17,2019,4,2,Wednesday,16,Primavera,0.3461666666666667
CDMX,CO,2019-04-18,2019,4,3,Thursday,16,Primavera,0.3091286231884058
CDMX,CO,2019-04-19,2019,4,4,Friday,16,Primavera,0.133364044168392
CDMX,CO,2019-04-20,2019,4,5,Saturday,16,Primavera,0.19109786922015184
CDMX,CO,2019-04-21,2019,4,6,Sunday,16,Primavera,0.2483016304347826
