ciudad,fecha,anio,mes,dia_semana,nombre_dia,semana,estacion_anio,CO,NO2,O3,PM25,SO2
CDMX,2019-01-01,2019,1,1,Tuesday,1,Invierno,0.6436507936507937,0.022363945578231292,0.0389077380952381,63.67325367647059,0.004612637362637363
CDMX,2019-01-02,2019,1,2,Wednesday,1,Invierno,0.5335758377425044,0.02990501628001628,0.023797236223118277,33.58364991830066,0.007147321428571429
CDMX,2019-01-03,2019,1,3,Thursday,1,Invierno,0.7133559727309727,0.03810576923076923,0.025205642361111114,27.544223175381262,0.004563579486711671
CDMX,2019-01-04,2019,1,4,Friday,1,Invierno,0.6549306403473071,0.03564447310405644,0.031959397304875785,31.213994529435706,0.003621259806604634
CDMX,2019-01-05,2019,1,5,Saturday,1,Invierno,0.5471671075837743,0.03278417107583775,0.03676957045250896,35.624046840958606,0.005643370279146141
CDMX,2019-01-06,2019,1,6,Sunday,1,Invierno,0.5364776234567902,0.029895447530864195,0.03404107862903226,27.452069716775597,0.004441143267651888
CDMX,2019-01-07,2019,1,0,Monday,2,Invierno,0.6036344167296549,0.030518082446653876,0.03151006734618208,26.41176470588235,0.0034768507658491238
CDMX,2019-01-08,2019,1,1,Tuesday,2,Invierno,0.5223027743861077,0.03278203432370099,0.026618976331726607,22.7937748015873,0.002691021635346348
CDMX,2019-01-09,2019,1,2,Wednesday,2,Invierno,0.4485603038936372,0.026011203703703703,0.026385067733990148,26.867708333333336,0.01062003544295211
CDMX,2019-01-10,2019,1,3,Thursday,2,Invierno,0.32377136752136754,0.02277344017094017,0.03003543035030104,23.956471306471304,0.003597718253968254
CDMX,2019-01-11,2019,1,4,Friday,2,Invierno,0.4595759734093068,0.025253397435897437,0.03127855011367942,23.97043650793651,0.002874423416090083
CDMX,2019-01-12,2019,1,5,Saturday,2,Invierno,0.4516263057929724,0.026178062678062677,0.026518748482901405,30.540064102564102,0.007892799631930068
CDMX,2019-01-13,2019,1,6,Sunday,2,Invierno,0.2152014652014652,0.014294871794871796,0.027937728937728938,19.934142246642246,0.0011482159815493149
CDMX,2019-01-14,2019,1,0,Monday,3,Invierno,0.29012179487179485,0.01908974358974359,0.01994835758377425,21.205128205128204,0.008154558404558405
CDMX,2019-01-15,2019,1,1,Tuesday,3,Invierno,0.514717925492382,0.02629059294871795,0.024290707057948436,30.462357087357088,0.009838781457739792
CDMX,2019-01-16,2019,1,2,Wednesday,3,Invierno,0.4600011870845204,0.02566596153846154,0.029052969348659002,30.682158119658123,0.006765873015873016
CDMX,2019-01-17,2019,1,3,Thursday,3,Invierno,0.5190705128205128,0.027958333333333335,0.02441091954022989,30.652655677655677,0.012364197530864198
CDMX,2019-01-18,2019,1,4,Friday,3,Invierno,0.4783917972459639,0.025048025463299567,0.025757522215693128,24.01448412698413,0.007061104075508612
CDMX,2019-01-19,2019,1,5,Saturday,3,Invierno,0.45540123456790127,0.024293040293040295,0.027948275862068966,23.497172619047618,0.004641229141229141
CDMX,2019-01-20,2019,1,6,Sunday,3,Invierno,0.30783475783475783,0.018918846153846154,0.02755977011494253,21.951785714285716,0.008678181386514721
CDMX,2019-01-21,2019,1,0,Monday,4,Invierno,0.705849358974359,0.03429305787811223,0.02868094135802469,26.459981684981685,0.012820320512820513
CDMX,2019-01-22,2019,1,1,Tuesday,4,Invierno,0.5991728395061728,0.030829066951566952,0.029212079228243024,21.114659645909644,0.0021192935151268487
CDMX,2019-01-23,2019,1,2,Wednesday,4,Invierno,0.5339648622981956,0.027600752611585944,0.025142376315149303,18.427096688034187,0.002812141500474834
CDMX,2019-01-24,2019,1,3,Thursday,4,Invierno,0.5586982250505801,0.025339214666171186,0.020111306678772947,20.093624604562105,0.001976032453858541
CDMX,2019-01-25,2019,1,4,Friday,4,Invierno,0.5647825939492607,0.02442934201600868,0.024244255914370856,18.985069444444445,0.0023824883229645135
CDMX,2019-01-26,2019,1,5,Saturday,4,Invierno,0.4216650047483381,0.02060553181386515,0.02142523946360153,17.290857753357752,0.0020757147944647945
CDMX,2019-01-27,2019,1,6,Sunday,4,Invierno,0.26188271604938274,0.01600730056980057,0.02908136200716846,13.05891252334267,0.0037874779541446214
CDMX,2019-01-28,2019,1,0,Monday,5,Invierno,0.4997344491927825,0.02563341820987654,0.027815409648286455,19.706746031746032,0.0024154990842490845
CDMX,2019-01-29,2019,1,1,Tuesday,5,Invierno,0.5574370845204178,0.027482134377967714,0.03379323476702509,24.215201465201464,0.003228725749559083
CDMX,2019-01-30,2019,1,2,Wednesday,5,Invierno,0.3946448602055486,0.022426033396345305,0.028595673310298258,14.490451388888888,0.0032064725451681976
CDMX,2019-01-31,2019,1,3,Thursday,5,Invierno,0.5543199023199024,0.025571587301587304,0.027097276204911674,17.418849206349204,0.0015915805182471852
CDMX,2019-02-01,2019,2,4,Friday,5,Invierno,0.6159444444444445,0.029784861111111113,0.026217159277504107,19.83234126984127,0.0017175641025641026
