"Parámetro","Fecha","Hora","ATM : Atemajac","CEN : Centro ","AGU : Las Águilas","PIN : Las Pintas","LDO : Loma Dorada","MIR : Miravalle","OBL : Oblatos","SFE : Santa Fe","TLA : Tlaquepaque","VAL : Vallarta","COU : Country","SMT : Santa Margarita","SAN : Santa Anita","Unidad"
"PM2.5","2020-01-01","0"," - - - - ","32"," - - - - ","74"," - - - - "," - - - - "," - - - - "," - - - - ","36"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","1"," - - - - ","73"," - - - - ","78"," - - - - ","65"," - - - - "," - - - - ","46"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","2"," - - - - ","75"," - - - - ","100"," - - - - ","86"," - - - - "," - - - - ","66"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","3"," - - - - ","89"," - - - - ","102"," - - - - ","86"," - - - - "," - - - - ","83"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","4"," - - - - ","71"," - - - - ","110"," - - - - ","92"," - - - - "," - - - - ","117"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","5"," - - - - ","64"," - - - - ","128"," - - - - ","65"," - - - - "," - - - - ","103"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","6"," - - - - ","61"," - - - - ","23"," - - - - ","27"," - - - - "," - - - - ","34"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","7"," - - - - ","37"," - - - - ","5"," - - - - "," - - - - "," - - - - "," - - - - ","9"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","8"," - - - - ","10"," - - - - ","7"," - - - - "," - - - - "," - - - - "," - - - - ","5"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","9"," - - - - "," - - - - "," - - - - ","2"," - - - - "," - - - - "," - - - - "," - - - - ","7"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","10"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","1"," - - - - "," - - - - ","7"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","11"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","11"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","12"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","11"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","13"," - - - - ","5"," - - - - ","2"," - - - - ","2"," - - - - "," - - - - ","13"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","14"," - - - - ","6"," - - - - ","50"," - - - - ","9"," - - - - "," - - - - ","52"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","15"," - - - - ","10"," - - - - ","43"," - - - - ","8"," - - - - "," - - - - ","137"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2020-01-01","16"," - - - - ","15"," - - - - ","40"," - - - - ","3"," - - - - "," - - - - ","182"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
