"Parámetro","Fecha","Hora","ATM : Atemajac","CEN : Centro ","AGU : Las Águilas","PIN : Las Pintas","LDO : Loma Dorada","MIR : Miravalle","OBL : Oblatos","SFE : Santa Fe","TLA : Tlaquepaque","VAL : Vallarta","COU : Country","SMT : Santa Margarita","SAN : Santa Anita","Unidad"
"PM2.5","2023-01-01","0"," - - - - ","29","58"," - - - - ","151"," - - - - "," - - - - "," - - - - ","120","30"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","1"," - - - - ","122","77"," - - - - ","179"," - - - - "," - - - - "," - - - - ","164","42"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","2"," - - - - ","135","95"," - - - - ","151"," - - - - "," - - - - "," - - - - ","175","62"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","3"," - - - - ","152","105"," - - - - ","133"," - - - - "," - - - - "," - - - - "," - - - - ","64"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","4"," - - - - ","192","85"," - - - - ","106"," - - - - "," - - - - "," - - - - ","263","64"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","5"," - - - - "," - - - - ","61"," - - - - ","95"," - - - - "," - - - - "," - - - - ","268","56"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","6"," - - - - ","176","47"," - - - - ","87"," - - - - "," - - - - "," - - - - ","284","38"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","7"," - - - - ","214","39"," - - - - ","79"," - - - - "," - - - - "," - - - - ","291","34"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","8"," - - - - "," - - - - ","19"," - - - - ","145"," - - - - "," - - - - "," - - - - ","271","47"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","9"," - - - - ","160","15"," - - - - ","16"," - - - - "," - - - - "," - - - - ","217","7"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","10"," - - - - "," - - - - ","30"," - - - - "," - - - - ","65"," - - - - "," - - - - ","133","15"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","11"," - - - - "," - - - - ","20"," - - - - "," - - - - ","50"," - - - - "," - - - - ","38","14"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","12"," - - - - ","26","22"," - - - - ","5","29"," - - - - "," - - - - ","18","16"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","13"," - - - - ","29","16"," - - - - ","14","24"," - - - - "," - - - - ","16","14"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","14"," - - - - "," - - - - "," - - - - "," - - - - ","23"," - - - - "," - - - - "," - - - - ","11","8"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","15"," - - - - "," - - - - "," - - - - "," - - - - ","6"," - - - - "," - - - - "," - - - - ","3"," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","16"," - - - - ","9","1"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","17"," - - - - ","9","4"," - - - - "," - - - - "," - - - - "," - - - - "," - - - - ","5","1"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","18"," - - - - ","7","6"," - - - - ","8"," - - - - "," - - - - "," - - - - ","11","5"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","19"," - - - - ","9","6"," - - - - "," - - - - ","7"," - - - - "," - - - - ","28","9"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","20"," - - - - ","13","7"," - - - - ","39","8"," - - - - "," - - - - ","30","11"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","21"," - - - - ","15","9"," - - - - "," - - - - ","7"," - - - - "," - - - - ","18","17"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","22"," - - - - ","12","7"," - - - - ","7","6"," - - - - "," - - - - ","15","12"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-01","23"," - - - - ","11"," - - - - "," - - - - ","8","6"," - - - - "," - - - - ","14","12"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","0"," - - - - "," - - - - ","2"," - - - - ","7","3"," - - - - "," - - - - ","17","13"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","1"," - - - - ","7"," - - - - "," - - - - ","8","1"," - - - - "," - - - - ","11","7"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","2"," - - - - ","12"," - - - - "," - - - - ","13","4"," - - - - "," - - - - ","9","5"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","3"," - - - - "," - - - - ","3"," - - - - ","8","4"," - - - - "," - - - - ","7","6"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","4"," - - - - "," - - - - ","5"," - - - - ","10","3"," - - - - "," - - - - ","11","2"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","5"," - - - - ","6","9"," - - - - ","11","4"," - - - - "," - - - - ","10","2"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","6"," - - - - ","11"," - - - - "," - - - - ","16","7"," - - - - "," - - - - ","14","5"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","7"," - - - - ","17","7"," - - - - ","23","12"," - - - - "," - - - - ","14","8"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","8"," - - - - ","22","9"," - - - - ","23","22"," - - - - "," - - - - ","22","8"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","9"," - - - - ","27","1"," - - - - ","12","26"," - - - - "," - - - - ","29","16"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","10"," - - - - ","17","6"," - - - - ","14","19"," - - - - "," - - - - ","16","12"," - - - - "," - - - - "," - - - - ","µg/m³"
"PM2.5","2023-01-02","11"," - - - - ","16","8"," - - - - ","7","15"," - - - - "," - - - - ","16","10"," - - - - "," - - - - "," - - - - ","µg/m³"
